id,precision,recall,f1
242,0.944444,1,0.971429
243,1,1,1
244,0.755556,1,0.860759
245,0.928571,1,0.962963
246,1,0.923077,0.96
247,0.947368,0.989011,0.967742
248,0.942857,1,0.970588
249,1,1,1
250,1,1,1
251,1,0.95,0.974359
252,0.427273,1,0.598726
253,0.909091,1,0.952381
254,1,1,1
255,1,1,1
256,0.947368,1,0.972973
257,0.575758,1,0.730769
258,1,0.408163,0.57971
259,1,1,1
260,1,1,1
261,1,0.941176,0.969697
262,0.588235,1,0.740741
263,1,1,1
264,0.962963,0.928571,0.945455
265,1,0.909091,0.952381
266,0.928571,1,0.962963
267,1,0.6,0.75
268,0.96,0.685714,0.8
269,1,1,1
270,1,1,1
271,1,0.9,0.947368
272,0.807692,1,0.893617
273,1,0.391304,0.5625
274,0.782609,1,0.878049
275,1,1,1
276,0.423077,1,0.594595
277,1,1,1
278,1,0.666667,0.8
279,0.149254,1,0.25974
280,1,0.709677,0.830189
281,0.583333,1,0.736842
282,0.428571,1,0.6
283,1,0.912281,0.954128
284,1,0.738095,0.849315
285,0.956522,1,0.977778
286,0.875,1,0.933333
287,0.722222,1,0.83871
288,0.789474,1,0.882353
289,0.390244,1,0.561404
290,1,1,1
291,0.916667,1,0.956522
292,0.333333,1,0.5
293,0.967742,0.882353,0.923077
294,0.958333,0.884615,0.92
295,0.952381,0.454545,0.615385
296,0.933333,1,0.965517
297,1,0.5,0.666667
298,0.5,1,0.666667
299,1,1,1
300,0.916667,1,0.956522
301,0.782609,0.666667,0.72
302,1,0.44,0.611111
303,0.823529,1,0.903226
304,1,1,1
305,1,0.425,0.596491
306,1,0.882353,0.9375
307,0.939394,0.673913,0.78481
308,1,0.625,0.769231
309,1,0.96875,0.984127
310,0.939394,0.673913,0.78481
311,1,0.92,0.958333
312,0.244186,1,0.392523
313,0.775862,1,0.873786
314,1,1,1
315,0.875,1,0.933333
316,1,0.666667,0.8
317,0.76,1,0.863636
318,0.909091,0.97561,0.941176
319,0.938776,0.901961,0.92
320,0.289474,1,0.44898
321,0.410256,1,0.581818
322,1,1,1
323,0.608696,1,0.756757
324,1,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,0.941176,0.727273,0.820513
329,1,1,1
330,1,0.292683,0.45283
331,1,1,1
332,1,0.833333,0.909091
333,0.970588,1,0.985075
334,1,0.625,0.769231
335,1,1,1
336,1,0.5625,0.72
337,0.761364,0.905405,0.82716
338,0.526316,1,0.689655
339,0.909091,1,0.952381
340,1,1,1
341,1,1,1
342,1,1,1
343,1,0.76,0.863636
344,0.961538,0.961538,0.961538
345,0.911765,1,0.953846
346,0.875,1,0.933333
347,1,1,1
348,1,1,1
349,0.423077,1,0.594595
350,0.289474,1,0.44898
351,0.423077,1,0.594595
352,0.769231,1,0.869565
353,1,1,1
354,0.8125,1,0.896552
355,0.727273,1,0.842105
356,1,0.818182,0.9
357,1,0.96,0.979592
358,0.833333,1,0.909091
359,0.954545,0.617647,0.75
360,0.551724,1,0.711111
361,0.939394,0.673913,0.78481
362,0.954545,1,0.976744
363,0.333333,1,0.5
364,0.961538,1,0.980392
365,1,0.538462,0.7
366,0.170213,1,0.290909
367,0.962963,0.702703,0.8125
368,1,1,1
369,1,1,1
370,0.933333,0.875,0.903226
371,1,0.681159,0.810345
372,1,1,1
373,1,1,1
374,0.337662,0.8125,0.477064
375,0.95,1,0.974359
376,0.423077,1,0.594595
377,1,0.5,0.666667
378,1,0.539823,0.701149
379,1,0.857143,0.923077
380,0.761905,1,0.864865
381,1,0.928571,0.962963
382,0.912281,0.896552,0.904348
383,0.973684,0.860465,0.91358
384,1,1,1
385,1,0.8,0.888889
386,1,0.738095,0.849315
387,1,1,1
388,0.0677966,1,0.126984
389,1,0.615385,0.761905
390,1,1,1
391,0.827586,1,0.90566
392,0.9375,1,0.967742
393,1,0.666667,0.8
394,0.928571,1,0.962963
395,0.423077,1,0.594595
396,0.174757,1,0.297521
397,1,1,1
398,1,1,1
399,0.823529,1,0.903226
400,0.967742,0.882353,0.923077
401,0.933333,0.903226,0.918033
402,0.182927,1,0.309278
403,0.939394,0.673913,0.78481
404,1,1,1
405,1,0.578947,0.733333
406,1,0.705882,0.827586
407,1,0.791667,0.883721
408,0.958333,0.621622,0.754098
409,0.9375,1,0.967742
410,0.8125,1,0.896552
411,1,1,1
412,1,1,1
413,0.947368,0.782609,0.857143
414,0.925926,0.961538,0.943396
415,0.738095,0.861111,0.794872
416,1,0.823529,0.903226
417,1,1,1
418,0.884615,1,0.938776
419,0.244186,1,0.392523
420,0.970588,1,0.985075
421,0.944444,1,0.971429
422,0.764706,1,0.866667
423,0.9,1,0.947368
424,1,0.96,0.979592
425,1,1,1
426,1,0.681159,0.810345
427,1,1,1
428,0.432836,1,0.604167
429,0.695652,1,0.820513
430,1,1,1
431,1,0.8,0.888889
432,0.928571,1,0.962963
433,1,1,1
434,1,0.625,0.769231
435,1,1,1
436,1,0.785714,0.88
437,0.909091,1,0.952381
438,0.941176,0.432432,0.592593
439,0.947368,1,0.972973
440,1,1,1
441,0.923077,1,0.96
442,1,1,1
443,0.653846,1,0.790698
444,0.961538,1,0.980392
445,1,1,1
446,1,0.9,0.947368
447,0.741379,1,0.851485
448,0.267442,1,0.422018
449,0.689655,1,0.816327
450,0.75,1,0.857143
451,0.289474,1,0.44898
452,1,0.392857,0.564103
453,0.970588,1,0.985075
454,1,0.666667,0.8
455,0.761905,1,0.864865
456,0.916667,1,0.956522
457,1,1,1
458,0.9375,1,0.967742
459,1,0.9,0.947368
460,0.909091,1,0.952381
461,0.923077,1,0.96
462,0.933333,1,0.965517
463,0.909091,1,0.952381
464,1,1,1
465,1,0.705882,0.827586
466,0.964286,1,0.981818
467,0.666667,1,0.8
468,0.666667,1,0.8
469,0.916667,1,0.956522
470,0.741379,1,0.851485
471,0.909091,1,0.952381
472,0.773585,1,0.87234
473,1,1,1
474,1,1,1
475,1,1,1
476,0.583333,1,0.736842
477,0.923077,1,0.96
478,0.931034,0.964286,0.947368
479,1,1,1
480,0.977273,0.934783,0.955556
481,0.423077,1,0.594595
482,0.909091,1,0.952381
483,1,0.909091,0.952381
484,0.153846,1,0.266667
485,1,1,1
486,0.76,1,0.863636
487,0.958333,0.884615,0.92
488,1,0.916667,0.956522
489,0.962963,1,0.981132
490,0.666667,1,0.8
491,1,1,1
492,0.829268,1,0.906667
493,1,0.611111,0.758621
494,0.775862,1,0.873786
495,1,0.888889,0.941176
496,0.432836,1,0.604167
497,0.727273,1,0.842105
498,1,0.615385,0.761905
499,0.769231,1,0.869565
500,0.666667,1,0.8
501,0.9375,1,0.967742
502,0.346667,0.928571,0.504854
503,0.961538,0.635593,0.765306
504,0.941176,1,0.969697
505,0.944444,0.566667,0.708333
506,1,1,1
507,0.423077,1,0.594595
508,0.857143,1,0.923077
509,0.956522,1,0.977778
510,1,1,1
511,1,0.539823,0.701149
512,1,1,1
513,0.923077,1,0.96
514,1,1,1
515,1,1,1
516,1,0.903226,0.949153
517,0.289474,1,0.44898
518,1,1,1
519,1,1,1
520,1,1,1
521,1,0.9,0.947368
522,0.714286,0.405405,0.517241
523,1,1,1
524,1,1,1
525,1,1,1
526,1,0.625,0.769231
527,0.0719424,1,0.134228
528,1,0.538462,0.7
529,0.925926,0.961538,0.943396
530,0.928571,1,0.962963
531,0.6,1,0.75
532,0.933333,1,0.965517
533,0.76,1,0.863636
534,0.875,1,0.933333
535,0.833333,1,0.909091
536,1,1,1
537,1,1,1
538,1,0.9375,0.967742
539,1,0.4,0.571429
540,1,1,1
541,1,1,1
542,0.666667,1,0.8
543,1,0.833333,0.909091
544,1,1,1
545,1,0.96,0.979592
546,0.5,1,0.666667
547,1,1,1
548,1,0.941176,0.969697
549,0.823529,1,0.903226
550,1,0.571429,0.727273
551,1,0.0588235,0.111111
552,1,0.533333,0.695652
553,0.76,0.35514,0.484076
554,1,1,1
555,0.830189,1,0.907216
556,1,0.5,0.666667
557,0.958333,0.958333,0.958333
558,1,1,1
559,0.94,0.783333,0.854545
560,0.909091,1,0.952381
561,1,1,1
562,0.909091,1,0.952381
563,0.961538,1,0.980392
564,1,0.424242,0.595745
565,0.395833,0.95,0.558824
566,1,0.529412,0.692308
567,1,0.941176,0.969697
568,0.961538,1,0.980392
569,0.588235,1,0.740741
570,0.684211,0.52,0.590909
571,1,1,1
572,1,0.738095,0.849315
573,0.944444,0.772727,0.85
574,0.947368,0.86747,0.90566
575,0.923077,1,0.96
576,0.809524,0.944444,0.871795
577,0.970588,1,0.985075
578,1,1,1
579,0.933333,0.875,0.903226
580,1,0.9,0.947368
581,1,1,1
582,0.75,1,0.857143
583,0.958333,0.638889,0.766667
584,0.833333,1,0.909091
585,0.85,0.5,0.62963
586,1,1,1
587,0.170213,1,0.290909
588,1,1,1
589,0.972603,1,0.986111
590,1,1,1
591,1,0.408163,0.57971
592,1,1,1
593,0.551724,1,0.711111
594,1,0.425,0.596491
595,1,0.766667,0.867925
596,0.857143,1,0.923077
597,1,0.8,0.888889
598,1,1,1
599,1,0.777778,0.875
600,1,0.923077,0.96
601,0.962963,0.962963,0.962963
602,1,1,1
603,0.333333,1,0.5
604,1,1,1
605,0.75,1,0.857143
606,1,0.461538,0.631579
607,0.583333,1,0.736842
608,0.833333,0.925926,0.877193
609,0.947368,0.86747,0.90566
610,1,1,1
611,0.947368,0.86747,0.90566
612,1,0.738095,0.849315
613,1,1,1
614,0.947368,1,0.972973
615,0.916667,1,0.956522
616,1,1,1
617,0.85,0.548387,0.666667
618,0.773585,0.911111,0.836735
619,1,1,1
620,0.8125,1,0.896552
621,0.941176,0.390244,0.551724
622,1,1,1
623,0.575758,0.904762,0.703704
624,1,0.8125,0.896552
625,1,1,1
626,0.775862,1,0.873786
627,0.8,1,0.888889
628,0.769231,1,0.869565
629,0.645161,1,0.784314
630,0.909091,1,0.952381
631,1,1,1
632,1,0.882353,0.9375
633,0.833333,1,0.909091
634,0.395833,0.95,0.558824
635,0.909091,0.666667,0.769231
636,0.9,0.9,0.9
637,0.947368,1,0.972973
638,1,1,1
639,0.954545,0.933333,0.94382
640,0.588235,1,0.740741
641,1,1,1
642,1,0.738095,0.849315
643,0.75,1,0.857143
644,0.964912,0.916667,0.940171
645,0.956522,1,0.977778
646,1,1,1
647,0.897959,0.956522,0.926316
648,1,0.95,0.974359
649,1,1,1
650,0.764706,1,0.866667
651,1,0.833333,0.909091
652,0.773585,1,0.87234
653,1,1,1
654,1,1,1
655,1,1,1
656,0.705882,1,0.827586
657,0.967742,0.967742,0.967742
658,0.952381,1,0.97561
659,1,0.909091,0.952381
660,0.909091,1,0.952381
661,1,1,1
662,1,1,1
663,0.789474,1,0.882353
664,0.131579,1,0.232558
665,0.916667,0.916667,0.916667
666,1,0.944444,0.971429
667,0.575758,1,0.730769
668,1,1,1
669,1,0.5,0.666667
670,0.8125,1,0.896552
671,0.727273,1,0.842105
672,1,0.625,0.769231
673,1,0.607143,0.755556
674,0.884615,1,0.938776
675,0.783333,1,0.878505
